MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
Y, , ,Nifty 50,     10977.55,     11008.10,     11034.10,     10850.30,     10930.45,451318179322.40,2129354850,Y, ,17626580,     11760.20,      9906.60
Y, , ,NIFTY50 EQL Wgt,     12453.40,     12488.40,     12522.15,     12178.70,     12273.75,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY100 EQL Wgt,     13222.55,     13273.85,     13307.00,     12906.40,     13027.95,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY100 LowVol30,      8651.75,      8675.65,      8683.85,      8546.30,      8591.65,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY Alpha 50,     12761.80,     12763.95,     12788.85,     12270.35,     12415.75,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty IT,     16018.00,     15932.10,     15972.00,     15734.95,     15838.05,0,0,Y, ,0,     16360.60,     10527.55
Y, , ,Nifty Next 50,     27636.45,     27783.35,     27839.55,     26982.80,     27286.50,0,0,Y, ,0,     31990.80,     26982.80
Y, , ,Nifty Bank,     25042.15,     25135.80,     25354.70,     24919.25,     25119.85,0,0,Y, ,0,     28388.65,     23605.60
Y, , ,NIFTY MIDCAP 100,     17509.85,     17576.35,     17626.20,     16972.70,     17154.35,0,0,Y, ,0,     21840.85,     16972.70
Y, , ,Nifty 500,      9202.35,      9230.10,      9249.35,      9041.65,      9116.00,0,0,Y, ,0,     10049.85,      8729.00
Y, , ,Nifty 100,     11186.70,     11221.55,     11247.25,     11039.35,     11126.40,0,0,Y, ,0,     12075.80,     10276.50
Y, , ,Nifty Midcap 50,      4729.40,      4753.20,      4764.75,      4571.65,      4622.85,0,0,Y, ,0,      5722.50,      4571.65
Y, , ,Nifty Realty,       230.55,       231.30,       231.50,       218.00,       219.60,0,0,Y, ,0,       375.15,       218.00
Y, , ,Nifty Infra,      3045.45,      3053.15,      3057.60,      2945.85,      2967.30,0,0,Y, ,0,      3748.90,      2945.85
Y, , ,Nifty Energy,     15694.95,     15772.95,     15867.85,     15576.45,     15697.20,0,0,Y, ,0,     16360.50,     12948.65
Y, , ,Nifty FMCG,     29660.25,     29808.10,     29902.25,     29372.70,     29757.70,0,0,Y, ,0,     33167.90,     25007.00
Y, , ,Nifty MNC,     13563.20,     13619.50,     13652.25,     13314.10,     13446.45,0,0,Y, ,0,     15184.10,     13130.70
Y, , ,Nifty Pharma,     10092.45,     10111.70,     10149.45,      9881.55,      9972.45,0,0,Y, ,0,     10786.35,      7900.35
Y, , ,Nifty PSE,      3599.60,      3617.40,      3626.40,      3535.30,      3560.45,0,0,Y, ,0,      4446.50,      3416.75
Y, , ,Nifty PSU Bank,      2724.05,      2738.05,      2787.55,      2674.30,      2700.45,0,0,Y, ,0,      4335.20,      2645.75
Y, , ,Nifty Serv Sector,     14465.70,     14494.15,     14595.15,     14382.15,     14471.50,0,0,Y, ,0,     15747.30,     12922.45
Y, , ,India VIX,16.9225,16.9225,17.6925,15.9250,16.9950,0,0,Y, ,0,24.0350,9.4300
Y, , ,Nifty Auto,      9815.40,      9863.10,      9896.90,      9456.60,      9590.25,0,0,Y, ,0,     12108.80,      9456.60
Y, , ,Nifty Metal,      3669.70,      3680.90,      3689.85,      3471.60,      3485.35,0,0,Y, ,0,      4256.40,      3062.25
Y, , ,Nifty Media,      2492.60,      2500.15,      2521.35,      2411.90,      2447.50,0,0,Y, ,0,      3675.85,      2411.90
Y, , ,NIFTY SMLCAP 100,      6480.75,      6488.90,      6495.00,      6109.00,      6150.95,0,0,Y, ,0,      9656.55,      6109.00
Y, , ,Nifty 200,      5776.20,      5794.70,      5807.90,      5688.40,      5735.05,0,0,Y, ,0,      6277.35,      5386.70
Y, , ,Nifty Div Opps 50,      2690.50,      2692.10,      2696.65,      2646.60,      2664.40,0,0,Y, ,0,      2825.50,      2471.20
Y, , ,Nifty Commodities,      3761.30,      3774.25,      3784.45,      3660.15,      3686.50,0,0,Y, ,0,      4232.80,      3400.45
Y, , ,Nifty Consumption,      4862.20,      4881.15,      4889.25,      4739.80,      4793.20,0,0,Y, ,0,      5416.45,      4443.00
Y, , ,Nifty Fin Service,     10524.95,     10573.80,     10676.30,     10486.70,     10577.10,0,0,Y, ,0,     11855.20,      9878.90
Y, , ,Nifty50 Div Point,        93.71,        93.71,        93.71,        93.71,        93.71,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty100 Liq 15,      4044.90,      4056.90,      4068.20,      3897.85,      3933.45,0,0,Y, ,0,      4836.40,      3897.85
Y, , ,Nifty CPSE,      2290.75,      2307.45,      2317.95,      2250.55,      2279.70,0,0,Y, ,0,      2799.55,      2139.50
Y, , ,Nifty GrowSect 15,      6620.05,      6644.70,      6658.00,      6463.90,      6539.25,0,0,Y, ,0,      7354.55,      6089.05
Y, , ,Nifty50 PR 2x Lev,      4749.05,      4774.65,      4796.60,      4638.20,      4707.45,0,0,Y, ,0,      5487.60,      4049.60
Y, , ,Nifty50 PR 1x Inv,       406.40,       405.35,       411.20,       404.40,       408.25,0,0,Y, ,0,       436.60,       377.90
Y, , ,Nifty50 TR 2x Lev,      5993.55,      6025.85,      6053.55,      5853.65,      5941.10,0,0,Y, ,0,      6916.25,      5024.20
Y, , ,Nifty50 TR 1x Inv,       361.75,       360.80,       366.00,       360.00,       363.40,0,0,Y, ,0,       391.95,       336.60
Y, , ,Nifty50 Value 20,      5319.55,      5323.90,      5339.85,      5260.60,      5300.50,0,0,Y, ,0,      5563.80,      4236.20
Y, , ,Nifty Mid Liq 15,      3948.35,      3983.35,      3995.95,      3816.95,      3862.45,0,0,Y, ,0,      4677.05,      3816.95
Y, , ,Nifty Pvt Bank,     14133.05,     14190.65,     14270.10,     14028.35,     14151.05,0,0,Y, ,0,     16152.15,     13379.25
Y, , ,NIFTY100 Qualty30,      2575.15,      2583.15,      2585.85,      2519.50,      2542.75,0,0,Y, ,0,          .00,          .00
